Step,Value
1,0.03887402266263962
2,0.02775425650179386
3,0.024318907409906387
4,0.023084979504346848
5,0.021818334236741066
6,0.020985770970582962
7,0.019969847053289413
8,0.01915157400071621
9,0.01840418204665184
10,0.01793023943901062
11,0.01695687510073185
12,0.016567997634410858
13,0.015957612544298172
14,0.01558391097933054
15,0.014748209156095982
16,0.014078008942306042
17,0.014100459404289722
18,0.013413449749350548
19,0.013292304240167141
20,0.013144219294190407
21,0.01245088316500187
22,0.012397976592183113
23,0.011988801881670952
24,0.011846457608044147
25,0.011514466255903244
26,0.011156747117638588
27,0.011380458250641823
28,0.010856933891773224
29,0.010862925089895725
30,0.01057233102619648
31,0.010409733280539513
32,0.009999501518905163
33,0.010108616203069687
34,0.009950713254511356
35,0.009556958451867104
36,0.009517725557088852
37,0.009510685689747334
38,0.009299060329794884
39,0.009077409282326698
40,0.008999106474220753
41,0.009035489521920681
42,0.008679850958287716
43,0.00873697828501463
44,0.008630717173218727
45,0.00856685545295477
46,0.008471358567476273
47,0.008233299478888512
48,0.008210277184844017
49,0.008109412156045437
50,0.007933072745800018
51,0.007795323617756367
52,0.007742617279291153
53,0.0076728020794689655
54,0.007607485633343458
55,0.007459270302206278
56,0.007354980334639549
57,0.0073231919668614864
58,0.007207060698419809
59,0.007097418885678053
60,0.007009705062955618
61,0.006973890122026205
62,0.006936998572200537
63,0.006906107068061829
64,0.0067016687244176865
65,0.006851567421108484
66,0.006779991555958986
67,0.006680755410343409
68,0.006629468407481909
69,0.006459336262196302
70,0.006457503419369459
71,0.00647719856351614
72,0.006336903665214777
73,0.006287719588726759
74,0.006429166533052921
75,0.006300846580415964
76,0.00628409069031477
77,0.006067242473363876
78,0.00607766630128026
79,0.006011806894093752
80,0.0059682466089725494
81,0.005926451645791531
82,0.005925872828811407
83,0.00587346451357007
84,0.005841786507517099
85,0.005768367554992437
86,0.005742458626627922
87,0.005689009092748165
88,0.005734079051762819
89,0.00564434751868248
90,0.005650474224239588
91,0.005520326551049948
92,0.0055649736896157265
93,0.005490112584084272
94,0.005522575229406357
95,0.005425870884209871
96,0.005395542364567518
97,0.00536736473441124
98,0.005327985156327486
99,0.005318325478583574
100,0.005400993395596743
101,0.00523283751681447
102,0.00531754782423377
103,0.005240788217633963
104,0.005269119516015053
105,0.005131404846906662
106,0.005129313096404076
107,0.005195646081119776
108,0.005079988390207291
109,0.0050144498236477375
110,0.00502820685505867
111,0.0050779301673173904
112,0.0050244382582604885
113,0.004863669630140066
114,0.004996345844119787
115,0.004916700068861246
116,0.00489512924104929
117,0.0048530213534832
118,0.004964530933648348
119,0.004877371247857809
120,0.004929730668663979
121,0.004863657522946596
122,0.0047932760789990425
123,0.004744496196508408
124,0.004716157913208008
125,0.004668114241212606
126,0.004749506711959839
127,0.004709426313638687
128,0.0046811955980956554
129,0.0046906424686312675
130,0.004620381630957127
131,0.004620903171598911
132,0.004597565624862909
133,0.004633565433323383
134,0.004546567797660828
135,0.004518911708146334
136,0.004518149420619011
137,0.0044906227849423885
138,0.0045140585862100124
139,0.0045474800281226635
140,0.004592801444232464
141,0.004483602941036224
142,0.004417168442159891
143,0.004387901164591312
144,0.004393032286316156
145,0.004430049564689398
146,0.004437840543687344
147,0.004372881725430489
148,0.004367850720882416
149,0.004396769683808088
150,0.004384779836982489
151,0.004287312272936106
152,0.004291679710149765
153,0.004341949243098497
154,0.004243677947670221
155,0.004330088850110769
156,0.004287079442292452
157,0.004252961836755276
158,0.004294020589441061
159,0.004259052220731974
160,0.004180449992418289
161,0.004210799466818571
162,0.004306686110794544
163,0.004290850833058357
164,0.004196967463940382
165,0.004160316661000252
166,0.00413507828488946
167,0.004160527605563402
168,0.004176105838268995
169,0.004097618628293276
170,0.004044308792799711
171,0.004145125858485699
172,0.004096975550055504
173,0.004080190788954496
174,0.004227092955261469
175,0.004039430059492588
176,0.0040284330025315285
177,0.004049133043736219
178,0.004065565764904022
179,0.004092979710549116
180,0.004033908247947693
181,0.0040699695236980915
182,0.004017917439341545
183,0.003956890664994717
184,0.004045836161822081
185,0.004092664923518896
186,0.003953559324145317
187,0.0038959747180342674
188,0.0038717894349247217
189,0.003903087927028537
190,0.0039734733290970325
191,0.003986692987382412
192,0.003914367873221636
193,0.003934451378881931
194,0.003891495056450367
195,0.003782375482842326
196,0.0037295196671038866
197,0.003687935648486018
198,0.00371527555398643
199,0.003658205969259143
200,0.0036773583851754665
