Step,Value
1,0.022810477763414383
2,0.014210956171154976
3,0.011546168476343155
4,0.011669212020933628
5,0.01158110611140728
6,0.010530046187341213
7,0.01017797365784645
8,0.010033556260168552
9,0.010269149206578732
10,0.009535807184875011
11,0.01001732423901558
12,0.009654943831264973
13,0.009296350181102753
14,0.009521291591227055
15,0.00965220294892788
16,0.00961657427251339
17,0.009285084903240204
18,0.00888110138475895
19,0.009194445796310902
20,0.00886828824877739
21,0.009199051186442375
22,0.008843532763421535
23,0.008537297137081623
24,0.008368054404854774
25,0.00904639158397913
26,0.008638432249426842
27,0.008838387206196785
28,0.008416871540248394
29,0.008019847795367241
30,0.008802952244877815
31,0.009088226594030857
32,0.008947627618908882
33,0.008164092898368835
34,0.008757430128753185
35,0.00859663262963295
36,0.008405301719903946
37,0.008670661598443985
38,0.00828738883137703
39,0.008584929630160332
40,0.00857086107134819
41,0.008232686668634415
42,0.007914453744888306
43,0.008066830225288868
44,0.008147185668349266
45,0.008184852078557014
46,0.008315003477036953
47,0.008182761259377003
48,0.007847876287996769
49,0.008306303061544895
50,0.007928544655442238
51,0.008095156401395798
52,0.0077812084928154945
53,0.007911772467195988
54,0.00792081281542778
55,0.007699182257056236
56,0.00817806925624609
57,0.007652154192328453
58,0.008349629119038582
59,0.008054319769144058
60,0.007761904038488865
61,0.007866892963647842
62,0.00776534853503108
63,0.008139907382428646
64,0.008034560829401016
65,0.008052332326769829
66,0.007937392219901085
67,0.008228476159274578
68,0.007982471026480198
69,0.007693859748542309
70,0.007808219641447067
71,0.007580824661999941
72,0.008091771975159645
73,0.007684734184294939
74,0.007633579429239035
75,0.007989753037691116
76,0.007745313923805952
77,0.0075013041496276855
78,0.007912652567029
79,0.007529868744313717
80,0.007904949598014355
81,0.007558890152722597
82,0.008000747300684452
83,0.007989371195435524
84,0.007676150184124708
85,0.007477071601897478
86,0.007321509066969156
87,0.007484146393835545
88,0.007426155265420675
89,0.007477420382201672
90,0.007366688456386328
91,0.007767231669276953
92,0.00713702104985714
93,0.007321476470679045
94,0.0076147387735545635
95,0.007518327329307795
96,0.007572568953037262
97,0.00745641952380538
98,0.00776134105399251
99,0.00726851774379611
100,0.0074434359557926655
101,0.007228423375636339
102,0.007121933624148369
103,0.007151653990149498
104,0.007474493235349655
105,0.007464965805411339
106,0.007635817863047123
107,0.007360171526670456
108,0.007398305926471949
109,0.007719788700342178
110,0.007474560756236315
111,0.007262274622917175
112,0.006763523444533348
113,0.00729281036183238
114,0.0074199410155415535
115,0.00723245507106185
116,0.007292577065527439
117,0.007364676799625158
118,0.007302579469978809
119,0.007335714064538479
120,0.007522912696003914
121,0.007582585792988539
122,0.0072607784532010555
123,0.0072129154577851295
124,0.0075781154446303844
125,0.007701952941715717
126,0.007248728536069393
127,0.007404765114188194
128,0.007857154123485088
129,0.00734784547239542
130,0.007472904399037361
131,0.0075864000245928764
132,0.00754815386608243
133,0.0076437899842858315
134,0.007482915185391903
135,0.00741554843261838
136,0.007724668364971876
137,0.007462833076715469
138,0.008120452053844929
139,0.007416407577693462
140,0.007299941498786211
141,0.007575539406388998
142,0.007429033517837524
143,0.007141998503357172
144,0.007556349039077759
145,0.007396413013339043
146,0.007673312909901142
147,0.007327894680202007
148,0.0075975265353918076
149,0.007407602854073048
150,0.007462138310074806
151,0.007279388606548309
152,0.00722916517406702
153,0.007035916205495596
154,0.007274211384356022
155,0.007544865366071463
156,0.007288890890777111
157,0.007215640041977167
158,0.007566201500594616
159,0.0066717565059661865
160,0.007403387688100338
161,0.007844747044146061
162,0.007253231946378946
163,0.007559884339570999
164,0.007342434022575617
165,0.0073151495307683945
166,0.007262236438691616
167,0.0074362484738230705
168,0.0067203757353127
169,0.007552585564553738
170,0.007403626572340727
171,0.00741846626624465
172,0.00717957504093647
173,0.0073055848479270935
174,0.00705784372985363
175,0.007148806005716324
176,0.007141368929296732
177,0.0073414877988398075
178,0.0074404142796993256
179,0.00734639260917902
180,0.0074049364775419235
181,0.007494050543755293
182,0.0074116988107562065
183,0.007386027369648218
184,0.007444966118782759
185,0.0070421635173261166
186,0.007207854185253382
187,0.0074569787830114365
188,0.007148679345846176
189,0.007125329226255417
190,0.0073881205171346664
191,0.007442431058734655
192,0.00747714564204216
193,0.007326051127165556
194,0.007455965504050255
195,0.007455017883330584
196,0.007795910816639662
197,0.007658934220671654
198,0.0071175736375153065
199,0.007189001888036728
200,0.007178879342973232
