Step,Value
1,0.02658062055706978
2,0.014417340978980064
3,0.012419786304235458
4,0.01159359235316515
5,0.010819311253726482
6,0.010382117703557014
7,0.009828259237110615
8,0.009583787992596626
9,0.00928980391472578
10,0.008962776511907578
11,0.00861731544137001
12,0.00870299618691206
13,0.008343517780303955
14,0.0081481309607625
15,0.008023878559470177
16,0.007923996075987816
17,0.007757799234241247
18,0.007533126510679722
19,0.0075151617638766766
20,0.0073054516687989235
21,0.007355805952101946
22,0.007173160556703806
23,0.00704386830329895
24,0.007021899800747633
25,0.006850695237517357
26,0.006957166828215122
27,0.006727054715156555
28,0.006607414223253727
29,0.006593415047973394
30,0.006560314446687698
31,0.006564013194292784
32,0.006309569347649813
33,0.0062845367938280106
34,0.006311787758022547
35,0.006242983043193817
36,0.0062179481610655785
37,0.006004969123750925
38,0.006027509458363056
39,0.006054223049432039
40,0.005931350868195295
41,0.0060639288276433945
42,0.005879477597773075
43,0.005770578049123287
44,0.0057095615193247795
45,0.005728614516556263
46,0.00567547045648098
47,0.005721147172152996
48,0.005598241928964853
49,0.005567265208810568
50,0.005512547213584185
51,0.0056113600730896
52,0.005453912541270256
53,0.005483848042786121
54,0.005336761474609375
55,0.005327844060957432
56,0.005302505102008581
57,0.0053056227043271065
58,0.005241706967353821
59,0.005304827354848385
60,0.005298038013279438
61,0.005201858002692461
62,0.005161340348422527
63,0.005139532964676619
64,0.005152733065187931
65,0.005153620149940252
66,0.005067022051662207
67,0.005092843435704708
68,0.005039299838244915
69,0.005045248661190271
70,0.004985511302947998
71,0.004949674475938082
72,0.005131038837134838
73,0.0049226125702261925
74,0.004928849637508392
75,0.00490216352045536
76,0.004866217728704214
77,0.004854338243603706
78,0.004834380466490984
79,0.004926573485136032
80,0.004930118098855019
81,0.004785206634551287
82,0.004835551138967276
83,0.004803997464478016
84,0.004755575209856033
85,0.004703049547970295
86,0.004727416206151247
87,0.0047808135859668255
88,0.00469365157186985
89,0.0046877432614564896
90,0.00470888614654541
91,0.004635295365005732
92,0.004792031366378069
93,0.004671394359320402
94,0.0046080779284238815
95,0.004615153186023235
96,0.004654082003980875
97,0.0045928191393613815
98,0.004542358219623566
99,0.0045805261470377445
100,0.004541010595858097
101,0.0045869797468185425
102,0.004492523148655891
103,0.004488087724894285
104,0.0045159184373915195
105,0.0045365020632743835
106,0.004501936957240105
107,0.004466251470148563
108,0.004493284970521927
109,0.0044653695076704025
110,0.004433339927345514
111,0.00441419892013073
112,0.004411326255649328
113,0.0044066403061151505
114,0.0044092596508562565
115,0.004419665317982435
116,0.0043974509462714195
117,0.004371968097984791
118,0.004396988078951836
119,0.004388459492474794
120,0.004386122804135084
121,0.004347111098468304
122,0.004365555010735989
123,0.004341065417975187
124,0.004313034005463123
125,0.00434954185038805
126,0.004323945380747318
127,0.004285732284188271
128,0.004331755451858044
129,0.004263109061866999
130,0.004278393462300301
131,0.004290702752768993
132,0.004289789125323296
133,0.004246750846505165
134,0.004230216145515442
135,0.004326721653342247
136,0.004249942023307085
137,0.004219075199216604
138,0.004206485114991665
139,0.00418242160230875
140,0.00418650871142745
141,0.004219431430101395
142,0.004221481736749411
143,0.0041552092880010605
144,0.0042075784876942635
145,0.004199793096631765
146,0.004146818071603775
147,0.00445477245375514
148,0.004327266477048397
149,0.004142948426306248
150,0.004107148852199316
151,0.0041053141467273235
152,0.004100353457033634
153,0.004149880260229111
154,0.00409000413492322
155,0.004096562042832375
156,0.004104022402316332
157,0.004090422298759222
158,0.004109554458409548
159,0.004121432080864906
160,0.004081306047737598
161,0.00411020964384079
162,0.004097272641956806
163,0.00408893683925271
164,0.0040583317168056965
165,0.0040685865096747875
166,0.004077267367392778
167,0.004090401344001293
168,0.004044011700898409
169,0.004036339465528727
170,0.004071047995239496
171,0.004061306826770306
172,0.004035884980112314
173,0.00402262806892395
174,0.004024819936603308
175,0.004093109164386988
176,0.004044347442686558
177,0.004034882877022028
178,0.0040422906167805195
179,0.004024140536785126
180,0.003897034330293536
181,0.0038592778146266937
182,0.003852413035929203
183,0.0038345097564160824
184,0.0038352571427822113
185,0.0038231085054576397
186,0.003812978742644191
187,0.003802935592830181
188,0.0038049074355512857
189,0.003807800356298685
190,0.003814742900431156
191,0.003810193855315447
192,0.003802340244874358
193,0.003794277785345912
194,0.0038050985895097256
195,0.003783800406381488
196,0.0037858865689486265
197,0.0037866593338549137
198,0.0037811598740518093
199,0.0037900027818977833
200,0.003778171492740512
