Step,Value
1,0.015404785983264446
2,0.011194298975169659
3,0.011274581775069237
4,0.008807304315268993
5,0.008905082941055298
6,0.008129150606691837
7,0.00812355987727642
8,0.008027369156479836
9,0.007173024583607912
10,0.006862060632556677
11,0.006947816349565983
12,0.006829143967479467
13,0.007381151895970106
14,0.006544003263115883
15,0.0066375285387039185
16,0.006171535700559616
17,0.00620926171541214
18,0.005909698083996773
19,0.006060048937797546
20,0.005882889963686466
21,0.005496143363416195
22,0.005683766677975655
23,0.0054991357028484344
24,0.005646418314427137
25,0.005351577419787645
26,0.0052596586756408215
27,0.005246656946837902
28,0.005464436020702124
29,0.0053627584129571915
30,0.006133385933935642
31,0.0054675498977303505
32,0.005152120720595121
33,0.004996587056666613
34,0.005307789891958237
35,0.004885777365416288
36,0.005020647309720516
37,0.005184214096516371
38,0.004870072938501835
39,0.004877182655036449
40,0.00610586442053318
41,0.004860576707869768
42,0.005079415626823902
43,0.004733983427286148
44,0.004747108556330204
45,0.004930279217660427
46,0.004834463819861412
47,0.004726875107735395
48,0.004964484833180904
49,0.004675674252212048
50,0.004916515666991472
51,0.004498528316617012
52,0.004888366907835007
53,0.0046234941110014915
54,0.00475901085883379
55,0.004633419215679169
56,0.004635083954781294
57,0.004493839107453823
58,0.004521656781435013
59,0.0046912673860788345
60,0.004485652316361666
61,0.004641696810722351
62,0.004562624730169773
63,0.004527097102254629
64,0.004676995798945427
65,0.0045671905390918255
66,0.004454731475561857
67,0.00422494113445282
68,0.00431482307612896
69,0.004172720480710268
70,0.004524294752627611
71,0.0045500583946704865
72,0.004533759783953428
73,0.004197405651211739
74,0.004424820654094219
75,0.004405558109283447
76,0.00432532699778676
77,0.004162202123552561
78,0.004481217823922634
79,0.004177290480583906
80,0.004284736700356007
81,0.004424950107932091
82,0.0044555384665727615
83,0.004373778589069843
84,0.004277344327419996
85,0.004377936013042927
86,0.00409656809642911
87,0.004194652661681175
88,0.004085767548531294
89,0.004312437027692795
90,0.003950849175453186
91,0.004179895389825106
92,0.004103007726371288
93,0.004057357087731361
94,0.004033129662275314
95,0.004328127950429916
96,0.004083428997546434
97,0.004074397962540388
98,0.0040199426002800465
99,0.004009503871202469
100,0.004020376596599817
101,0.004115622490644455
102,0.003935381304472685
103,0.003890808206051588
104,0.0042006634175777435
105,0.004099532030522823
106,0.004051689989864826
107,0.003916369751095772
108,0.004081054124981165
109,0.004086965229362249
110,0.003925192169845104
111,0.004114335402846336
112,0.003861033823341131
113,0.004224028438329697
114,0.003931002225726843
115,0.003971732687205076
116,0.004073149058967829
117,0.004016617778688669
118,0.004109708126634359
119,0.004069680813699961
120,0.00422258023172617
121,0.003931939136236906
122,0.004091859795153141
123,0.003945917822420597
124,0.0039887335151433945
125,0.0040285889990627766
126,0.0041354019194841385
127,0.004127403721213341
128,0.004235164262354374
129,0.004109027795493603
130,0.004051880910992622
131,0.004141848534345627
132,0.00424776878207922
133,0.004126821178942919
134,0.004368295427411795
135,0.004351523704826832
136,0.004118949640542269
137,0.004090197384357452
138,0.004284735769033432
139,0.003743621753528714
140,0.004363718908280134
141,0.004244655836373568
142,0.004039982799440622
143,0.0039553274400532246
144,0.004290006123483181
145,0.003985466901212931
146,0.004215043969452381
147,0.004145723767578602
148,0.00397123210132122
149,0.004038727842271328
150,0.003915114793926477
151,0.004078690893948078
152,0.004136384930461645
153,0.0039836750365793705
154,0.004071398172527552
155,0.004069903865456581
156,0.004205689299851656
157,0.003912529442459345
158,0.003982604015618563
159,0.003977937623858452
160,0.004053354263305664
161,0.004045733716338873
162,0.00397682236507535
163,0.004040057770907879
164,0.004101144149899483
165,0.004144012462347746
166,0.003954596351832151
167,0.003838201751932502
168,0.004099525976926088
169,0.004121821839362383
170,0.004209212958812714
171,0.004209976643323898
172,0.0041056363843381405
173,0.004062956664711237
174,0.0042160507291555405
175,0.004235017579048872
176,0.00421137036755681
177,0.004300884436815977
178,0.004091935697942972
179,0.003898841794580221
180,0.004088853020220995
181,0.004264260176569223
182,0.004165820777416229
183,0.004185328725725412
184,0.00414620665833354
185,0.004141008947044611
186,0.004010545555502176
187,0.004222563933581114
188,0.0042448039166629314
189,0.004033519886434078
190,0.0039844694547355175
191,0.004045104142278433
192,0.004249072168022394
193,0.004185493569821119
194,0.004266141913831234
195,0.004198993090540171
196,0.003949197940528393
197,0.004282806999981403
198,0.003948683850467205
199,0.004125525243580341
200,0.004087428562343121
