Wall time,Step,Value
1617698740.214795,1,0.02131565660238266
1617699991.3990128,2,0.017209520563483238
1617701238.7081044,3,0.014999771490693092
1617702484.8650646,4,0.014197108335793018
1617703730.977872,5,0.013604859821498394
1617704979.0530536,6,0.0131011251360178
1617706222.304746,7,0.012480705045163631
1617707465.3977253,8,0.012286416254937649
1617708707.4504116,9,0.012040002271533012
1617709949.7086792,10,0.01189817488193512
1617711201.0056248,11,0.011434223502874374
1617712443.3577297,12,0.01129635889083147
1617713686.58402,13,0.011088802479207516
1617714931.638912,14,0.01103759091347456
1617716174.4575865,15,0.010721676982939243
1617717420.0979822,16,0.010913821868598461
1617718668.771696,17,0.010570846498012543
1617719916.8427064,18,0.01043029222637415
1617721164.5182073,19,0.010380448773503304
1617722411.2538826,20,0.010235004127025604
1617723665.4216127,21,0.010115533135831356
1617724912.543234,22,0.010028654709458351
1617726161.470382,23,0.009947397746145725
1617727408.7478273,24,0.009827257134020329
1617728656.9063408,25,0.01001646462827921
1617729906.1426904,26,0.009710891172289848
1617731150.1297162,27,0.0096366535872221
1617732397.1210017,28,0.009578436613082886
1617733644.747752,29,0.009625326842069626
1617734889.5697436,30,0.009730800986289978
1617736141.6499321,31,0.009386834688484669
1617737387.2585428,32,0.009421039372682571
1617738631.344376,33,0.009334532544016838
1617739876.0466945,34,0.009466085582971573
1617741119.1134477,35,0.009350655600428581
1617742367.2995543,36,0.009287888184189796
1617743617.4601684,37,0.009169422090053558
1617744864.6727633,38,0.00917792972177267
1617746111.132348,39,0.009142143651843071
1617747362.1128826,40,0.009078145027160645
1617748621.3872523,41,0.008997604250907898
1617749868.8684156,42,0.009063142351806164
1617751117.8806677,43,0.00911715254187584
1617752364.327623,44,0.008962276391685009
1617753612.9271731,45,0.008955547586083412
1617754859.7146215,46,0.008895429782569408
1617756105.4567134,47,0.008836108259856701
1617757352.720194,48,0.008785909041762352
1617758599.2102327,49,0.008850318379700184
1617759846.5359476,50,0.008716169744729996
1617761100.357352,51,0.00874063279479742
1617762348.2840753,52,0.008767419494688511
1617763594.5352213,53,0.008702860213816166
1617764841.3824167,54,0.00873546488583088
1617766088.2811363,55,0.008780826814472675
1617767333.0280066,56,0.008647801354527473
1617768580.29193,57,0.008698134683072567
1617769824.0765877,58,0.008608647622168064
1617771069.900364,59,0.008615267463028431
1617772314.0086696,60,0.008659319020807743
1617773562.4363148,61,0.008615556173026562
1617774801.9328618,62,0.008600850589573383
1617776044.1580305,63,0.008577384054660797
1617777284.9213536,64,0.008424711413681507
1617778524.3650799,65,0.008564294315874577
1617779764.2220485,66,0.008473208174109459
1617781004.6836982,67,0.008500414900481701
1617782244.8105738,68,0.008414316922426224
1617783484.9827695,69,0.008388672955334187
