Step,Value
1,0.022660348564386368
2,0.018881209194660187
3,0.01634519174695015
4,0.015127205289900303
5,0.019438736140727997
6,0.016279954463243484
7,0.014665316790342331
8,0.013119140639901161
9,0.012258345261216164
10,0.01175486110150814
11,0.011435160413384438
12,0.01233475748449564
13,0.01163515355437994
14,0.011345511302351952
15,0.011323015205562115
16,0.01075395941734314
17,0.011233772151172161
18,0.010343639180064201
19,0.010058049112558365
20,0.010426673106849194
21,0.010154321789741516
22,0.010229242034256458
23,0.010517194867134094
24,0.009543230757117271
25,0.009662412106990814
26,0.009323556907474995
27,0.00957667175680399
28,0.00937769003212452
29,0.008938644081354141
30,0.009505600668489933
31,0.009947136044502258
32,0.009098511189222336
33,0.010030889883637428
34,0.008827708661556244
35,0.009241080842912197
36,0.008576526306569576
37,0.009494504891335964
38,0.008796795271337032
39,0.00855878833681345
40,0.008786969818174839
41,0.008999193087220192
42,0.008752590976655483
43,0.007900983095169067
44,0.008194487541913986
45,0.008314023725688457
46,0.008196650072932243
47,0.007802668493241072
48,0.008212445303797722
49,0.007832378149032593
50,0.00790401827543974
51,0.007778943050652742
52,0.008195116184651852
53,0.007676546927541494
54,0.008515717461705208
55,0.008184952661395073
56,0.00760952103883028
57,0.00793663039803505
58,0.007333678659051657
59,0.0074416217394173145
60,0.00717307161539793
61,0.007766404189169407
62,0.007583505008369684
63,0.007179025560617447
64,0.008766972459852695
65,0.007479480933398008
66,0.007285165600478649
67,0.007045995444059372
68,0.0068839192390441895
69,0.007414767984300852
70,0.007031514309346676
71,0.007090296596288681
72,0.007412346079945564
73,0.006973983254283667
74,0.00721167353913188
75,0.007294459734112024
76,0.007518316153436899
77,0.006939064711332321
78,0.007239137310534716
79,0.007269768044352531
80,0.006728669628500938
81,0.007096908055245876
82,0.007012630347162485
83,0.007205565460026264
84,0.00680141244083643
85,0.006612946279346943
86,0.006835708394646645
87,0.008012448437511921
88,0.007002370432019234
89,0.007474479731172323
90,0.006853797473013401
91,0.0070897052064538
92,0.006830485537648201
93,0.0066608558408916
94,0.006550094112753868
95,0.007273530121892691
96,0.00696263462305069
97,0.007369631435722113
98,0.006477692164480686
99,0.006689614150673151
100,0.006659848615527153
101,0.007153094280511141
102,0.006449196487665176
103,0.006349613890051842
104,0.006760783959180117
105,0.006617728620767593
106,0.006643088534474373
107,0.006184771656990051
108,0.0065842680633068085
109,0.0070158252492547035
110,0.006474277004599571
111,0.006552340462803841
112,0.006528827827423811
113,0.006483561359345913
114,0.006472112610936165
115,0.006334768142551184
116,0.006675262935459614
117,0.006534045096486807
118,0.006788385566323996
119,0.006425811909139156
120,0.006659762002527714
121,0.006649615243077278
122,0.006470745895057917
123,0.006273286882787943
124,0.006222019903361797
125,0.00633561797440052
126,0.006545811891555786
127,0.0064595784060657024
128,0.006424419116228819
129,0.006487127393484116
130,0.006389394868165255
131,0.006282641086727381
132,0.006704532075673342
133,0.006263377610594034
134,0.006818996276706457
135,0.00696305138990283
136,0.006757588591426611
137,0.006438696291297674
138,0.006628174334764481
139,0.005954017397016287
140,0.006104948464781046
141,0.006268132012337446
142,0.006095017772167921
143,0.005916387774050236
144,0.006279300898313522
145,0.006092661991715431
146,0.006211151368916035
147,0.006137664895504713
148,0.005861655343323946
149,0.006034906022250652
150,0.005914597772061825
151,0.006031693425029516
152,0.0062379720620810986
153,0.005803592503070831
154,0.006048619281500578
155,0.005938785150647163
156,0.006253034342080355
157,0.005958902183920145
158,0.005996130406856537
159,0.005946161691099405
160,0.005935114808380604
161,0.006015463266521692
162,0.0060563646256923676
163,0.006006340496242046
164,0.006150936242192984
165,0.006132197566330433
166,0.005970093421638012
167,0.005807248409837484
168,0.006015561055392027
169,0.005961350630968809
170,0.006219805218279362
171,0.00623598275706172
172,0.005981024820357561
173,0.005938991438597441
174,0.006048571318387985
175,0.006144192535430193
176,0.0061501082964241505
177,0.006035195663571358
178,0.006024340633302927
179,0.005882589146494865
180,0.00583457900211215
181,0.006396831013262272
182,0.006000888533890247
183,0.006173779722303152
184,0.006106988061219454
185,0.0061537423171103
186,0.006228570826351643
187,0.006161215715110302
188,0.00617391848936677
189,0.005918635055422783
190,0.006112946197390556
191,0.005982021801173687
192,0.00616458710283041
193,0.006109886337071657
194,0.006094363983720541
195,0.006065187510102987
196,0.0059781321324408054
197,0.006238740403205156
198,0.005856020376086235
199,0.005915722344070673
200,0.005994020029902458
